hbo	Meta	en	optionalComment
א	Alef	ʼ	# Modifier letter apostrophe U+02BC
אּ	Alef	ʼ
ב	Bet	ⱱ	# Different character from Vav
בּ	Bet	b
בְּ		bə	# Shva is before dagesh -- ACTUALLY IT'S THE WWW UNICODE STANDARD ORDER !!!
בַּ		ba	# Patah is before dagesh
בָּ		bā	# Qamats is before dagesh
בֶּ		be	# Segol is before dagesh
בֵּ		bē	# Tsere is before dagesh
בִּ		bi	# Hiriq is before dagesh
בֹּ		bo	# Holam is before dagesh
בֻּ		bu	# Qubuts is before dagesh
ג	Gimel	g
גּ	Gimel	gg
גְּ		ggə	# Shva is before dagesh
גַּ		gga	# Patah is before dagesh
גָּ		ggā	# Qamats is before dagesh
גֶּ		gge	# Segol is before dagesh
גֵּ		ggē	# Tsere is before dagesh
גִּ		ggi	# Hiriq is before dagesh
גֹּ		ggo	# Holam is before dagesh
גֻּ		ggu	# Qubuts is before dagesh
גּשׁ		ggosh	# The shin dot also acts as the holam
ד	Dalet	d
דּ	Dalet	dd
דְּ		ddə	# Shva is before dagesh
דַּ		dda	# Patah is before dagesh
דֲּ		dda	# Hataf Patah is before dagesh
דָּ		ddā	# Qamats is before dagesh
דֱּ		dde	# Hataf segol is before dagesh
דֵּ		ddē	# Tsere is before dagesh
דִּ		ddi	# Hiriq is before dagesh
דֹּ		ddo	# Holam is before dagesh
ה	He	h
הּ	HeFinal	h
ו	Vav	v
וֹ		ō	# Vav with Holam
וֺ		vō	# Vav with Holam Haser(=consonant+vowel)
וּ		ū
וָּ		vvā	# Qamats is before dagesh
וִּ		vvi	# Hiriq is before dagesh
וֺּ		vvō	# With dagesh then holam, it's a consonant
ז	Zayin	z
זּ	Zayin	zz
זָּ		zzā	# Qamats is before dagesh
זֵּ		zzē	# Tsere is before dagesh
זִּ		zzi	# Hiriq is before dagesh
ח	Het	ḩ
חּ	HetDagesh	ḩḩ
ט	Tet	ţ
טּ	Tet	ţţ
טָּ		ţţā	# Qamats is before dagesh
טִּ		ţţi	# Hiriq is before dagesh
י	Yod	y
יּ	Yod	yy
יָּ		yyā	# Qamats is before dagesh
יֵּ		yyē	# Tsere is before dagesh
יִּ		yyi	# Hiriq is before dagesh
כ	Kaf	k
כּ	Kaf	kk
כְּ		kkə	# Shva is before dagesh
כַּ		kka	# Patah is before dagesh
כָּ		kkā	# Qamats is before dagesh
כֶּ		kke	# Segol is before dagesh
כִּ		kki	# Hiriq is before dagesh
כִּי		kkī	# Hiriq is before dagesh before YOD
כִּיּ		kkīyy	# Hiriq is before dagesh before YOD before dagesh
כִּיָּ		kkīyyā	# Hiriq is before dagesh before YOD qamats dagesh
כֹּ		kko	# Holam is before dagesh
ך	KafFinal	k
ךּ	KafFinalDagesh	ⱪ	# Test k with hook rather than kk which looks bad at end of words
ךְ	KafFinalShva	k
ל	Lamed	l
לּ	Lamed	ll
לְּ		llə	# Shva is before dagesh
לַּ		lla	# Patah is before dagesh
לָּ		llā	# Qamats is before dagesh
לֶּ		lle	# Segol is before dagesh
לֵּ		llē	# Tsere is before dagesh
לִּ		lli	# Hiriq is before dagesh
לֻּ		llu	# Qubuts is before dagesh
מ	Mem	m
מּ	Mem	mm
מַּ		mma	# Patah is before dagesh
מָּ		mmā	# Qamats is before dagesh
מֶּ		mme	# Segol is before dagesh
מֵּ		mmē	# Tsere is before dagesh
מִּ		mmi	# Hiriq is before dagesh
מֹּ		mmo	# Holam is before dagesh
ם	MemFinal	m
נ	Nun	n
נּ	Nun	nn
נְּ		nnə	# Shva is before dagesh
נַּ		nna	# Patah is before dagesh
נָּ		nnā	# Qamats is before dagesh
נֶּ		nne	# Segol is before dagesh
נִּ		nni	# Hiriq is before dagesh
נֹּ		nno	# Holam is before dagesh
ן	NunFinal	n
ס	Samekh	ş
סּ	Samekh	şş
סְּ		şşə	# Shva is before dagesh
סָּ		şşā	# Qamats is before dagesh
סִּ		şşi	# Hiriq is before dagesh
ע	Ayin	ˊ	# Modifier letter accute accent U+02CA
עשׁ		ˊosh	# The shin dot also acts as the holam
פ	Pe	f
פּ	Pe	p
פְּ		ppə	# Shva is before dagesh
פַּ		ppa	# Patah is before dagesh
פָּ		ppā	# Qamats is before dagesh
פֶּ		ppe	# Segol is before dagesh
פִּ		ppi	# Hiriq is before dagesh
ף	PeFinal	f
ףּ	PeFinal	p
צ	Tsadi	ʦ
צּ	Tsadi	ʦʦ
צַּ		ʦʦa	# Patah is before dagesh
צֵּ		ʦʦē	# Tsere is before dagesh
ץ	TsadiFinal	ʦ
ק	Qof	q
קּ	Qof	qq
קַּ		qqa	# Patah is before dagesh
קֵּ		qqē	# Tsere is before dagesh
קִּ		qqi	# Hiriq is before dagesh
קֹּ		qqo	# Holam is before dagesh
ר	Resh	r
רּ	Resh	rr
ש	Shin	sh
